CVE_DOC,CVE_ART,COSTO_UNITARIO,COSTO_TOTAL_CALCULADO
F38428,TP0003,77.57,232.72
F38432,CM10G1030A00,0.0,311.18
F38433,TUA00457,0.0,493.38
F38435,TP0025,92.24,1383.54
F38436,BP00246,42.65,85.29
F38436,BP00247,155.39,310.77
F38436,BP00263,80.09,160.18
F38437,TUA00413,177.85,177.85
F38438,TU5/16X203V240W,331.33,662.65
F38440,EE00059,0.0,1170.9
F38443,BO00063,0.0,3192.33
F38443,RB00021,0.0,670.74
F38447,CS14D2017B20,111.07,111.07
F38454,TUA00453,236.06,1416.34
F38455,CS14E1012A00,32.24,128.97
F38456,TEA00103,87.04,174.08
F38457,TUA00009,1072.93,2145.86
F38458,PT00057,144.19,1441.92
F38459,CAE00011,0.0,367.04
F38464,TT00009,0.0,2360.31
F38464,TT00010,0.0,2378.73
F38466,P9K1J1D1G030,76.68,153.36
F38469,TU5/16X870J127V,227.18,227.18
F38471,P214J1BBA600,521.59,521.59
F38472,BN00260,174.16,348.32
F38472,BN00261,91.63,183.26
F38474,CS38C1008A00,0.0,556.96
F38475,TJ00029,0.0,1029.98
F38477,TUA00099,0.0,3820.84
F38477,TUA00191,0.0,2608.29
F38480,TP0005,97.49,97.49
